ID,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
35,Armadale,44 Denbigh Rd,4,h,3625000,S,Jellis,27/11/16,6.3,3143,4,1,2,709,251,1900,Stonnington,-37.8574,145.016,Southern Metropolitan,4836
36,Ascot Vale,9/5 Rothwell St,2,u,467000,SP,Brad,3/12/16,5.9,3032,2,1,1,0,62,1980,Moonee Valley,-37.7761,144.9201,Western Metropolitan,6567
37,Ascot Vale,7 Francis St,3,h,1380000,SP,Nelson,4/3/17,5.9,3032,3,2,2,277,174,1910,Moonee Valley,-37.7777,144.9221,Western Metropolitan,6567
38,Ascot Vale,98 Epsom Rd,3,h,971000,SP,Nelson,4/6/16,5.9,3032,3,2,2,285,128,1900,Moonee Valley,-37.775,144.9091,Western Metropolitan,6567
39,Ascot Vale,70 Munro St,3,h,955000,S,Brad,14/5/16,5.9,3032,3,1,1,263,117,1910,Moonee Valley,-37.7753,144.9116,Western Metropolitan,6567
40,Ascot Vale,33 Hockey La,3,h,1255000,S,Nelson,15/10/16,5.9,3032,3,2,2,308,,,Moonee Valley,-37.7759,144.9338,Western Metropolitan,6567
41,Ascot Vale,15 Bayview Tce,2,h,1150000,S,Brad,18/3/17,5.9,3032,2,1,1,387,,,Moonee Valley,-37.7734,144.9191,Western Metropolitan,6567
42,Ascot Vale,3/8 Walter St,2,t,865000,SP,Nelson,18/3/17,5.9,3032,2,2,1,146,132,2015,Moonee Valley,-37.7713,144.9038,Western Metropolitan,6567
43,Ascot Vale,107/8 Burrowes St,2,u,540000,S,Jellis,19/11/16,5.9,3032,2,2,1,0,,,Moonee Valley,-37.7786,144.9141,Western Metropolitan,6567
44,Ascot Vale,1/60 The Parade,2,u,690000,S,Brad,22/5/16,5.9,3032,2,1,1,0,,,Moonee Valley,-37.7728,144.9169,Western Metropolitan,6567
45,Ascot Vale,44 Walter St,3,h,1381500,S,Barry,25/2/17,5.9,3032,3,2,2,416,168,1900,Moonee Valley,-37.7727,144.9055,Western Metropolitan,6567
46,Ascot Vale,73 Kent St,2,h,760000,PI,Nelson,27/6/16,5.9,3032,2,1,1,124,77,1900,Moonee Valley,-37.7807,144.9285,Western Metropolitan,6567
47,Ascot Vale,5 Doncaster St,4,h,1705000,S,Jellis,30/7/16,5.9,3032,4,2,4,598,273,2012,Moonee Valley,-37.7774,144.9104,Western Metropolitan,6567
48,Ashburton,3/39 Solway St,3,t,2050000,S,Fletchers,3/12/16,11,3147,3,3,4,310,315,2014,Boroondara,-37.874,145.0714,Southern Metropolitan,3052
49,Ashburton,16a Nicholas St,3,h,1100000,PI,Marshall,8/10/16,11,3147,3,3,2,276,178,2004,Boroondara,-37.8699,145.0778,Southern Metropolitan,3052
50,Ashburton,18 Glen Rd,3,h,1665000,S,Jellis,15/10/16,11,3147,3,2,3,702,145,1945,Boroondara,-37.8737,145.0695,Southern Metropolitan,3052
51,Ashburton,95 Nicholas St,2,h,1445000,S,Jellis,16/4/16,11,3147,2,1,2,704,,,Boroondara,-37.8745,145.0738,Southern Metropolitan,3052
52,Ashburton,14 Lucerne St,3,h,1415000,S,Buxton,27/6/16,11,3147,3,1,1,605,111,1950,Boroondara,-37.8703,145.0774,Southern Metropolitan,3052
53,Ashburton,9 Ward St,3,h,1600000,S,Fletchers,28/5/16,11,3147,3,1,2,637,,,Boroondara,-37.8645,145.0797,Southern Metropolitan,3052
54,Ashwood,28 Raymond St,3,h,1250000,S,Woodards,3/12/16,12.2,3147,3,1,1,842,,,Monash,-37.867,145.1092,Southern Metropolitan,2894
55,Ashwood,8 Rocklands Rd,3,h,1120000,S,Tim,7/5/16,12.2,3147,3,1,2,723,,,Monash,-37.8642,145.1109,Southern Metropolitan,2894
56,Ashwood,8 Maroondah Rd,4,h,1415000,S,Buxton,13/8/16,12.2,3147,4,3,2,724,,,Monash,-37.8651,145.1107,Southern Metropolitan,2894
57,Ashwood,3 Harold St,4,h,1500000,S,Buxton,15/10/16,12.2,3147,4,2,1,593,255,1930,Monash,-37.8655,145.096,Southern Metropolitan,2894
58,Ashwood,4/24 Mulgrave St,2,u,535000,S,Woodards,18/6/16,12.2,3147,2,1,1,72,,,Monash,-37.8702,145.1042,Southern Metropolitan,2894
59,Ashwood,2/6 Murra Ct,2,u,700000,S,hockingstuart,22/8/16,12.2,3147,2,1,2,192,88,2007,Monash,-37.8709,145.102,Southern Metropolitan,2894
60,Avondale Heights,8 Norma Ct,3,h,850000,S,Moonee,3/9/16,10.5,3034,3,1,1,593,118,1970,Moonee Valley,-37.7677,144.8674,Western Metropolitan,4502
61,Avondale Heights,105 Canning St,3,h,848000,S,Nelson,4/3/17,10.5,3034,3,1,2,542,,,Moonee Valley,-37.7706,144.8629,Western Metropolitan,4502
62,Avondale Heights,22 Warrick Ct,4,h,1600000,PI,Nelson,10/12/16,10.5,3034,4,3,3,1801,,,Moonee Valley,-37.7532,144.8766,Western Metropolitan,4502
63,Avondale Heights,11 South Tce,3,h,850000,SP,Moonee,25/2/17,10.5,3034,3,2,8,585,,,Moonee Valley,-37.751,144.8571,Western Metropolitan,4502
64,Avondale Heights,61 Doyle St,3,h,635000,SP,Moonee,26/7/16,10.5,3034,3,1,1,597,,,Moonee Valley,-37.7568,144.8572,Western Metropolitan,4502
65,Avondale Heights,43 Skewes St,3,h,634000,S,Nelson,28/5/16,10.5,3034,4,2,1,582,153,1950,Moonee Valley,-37.7584,144.8568,Western Metropolitan,4502
66,Avondale Heights,235 Military Rd,3,h,863000,S,Barry,28/8/16,10.5,3034,3,2,3,638,,,Moonee Valley,-37.7546,144.8585,Western Metropolitan,4502
67,Balaclava,7/72 Grosvenor St,2,u,410000,PI,hockingstuart,3/12/16,6.6,3183,2,1,2,0,61,1965,Port Phillip,-37.8731,144.9958,Southern Metropolitan,2952
68,Balaclava,15/36 Brighton Rd,1,u,500000,SP,Biggin,27/11/16,6.6,3183,1,1,0,0,,,Port Phillip,-37.873,144.9907,Southern Metropolitan,2952
69,Balwyn,3/10 Westminster St,2,h,1215000,S,Jellis,3/12/16,9.7,3103,2,2,2,0,,,Boroondara,-37.8134,145.0972,Southern Metropolitan,5682
70,Balwyn,142 Balwyn Rd,2,h,1850000,VB,Fletchers,6/8/16,9.7,3103,3,1,1,1015,166,1930,Boroondara,-37.8074,145.0826,Southern Metropolitan,5682
71,Balwyn,4/3 King St,3,h,700000,VB,Marshall,7/5/16,9.7,3103,3,1,1,188,110,1970,Boroondara,-37.8065,145.065,Southern Metropolitan,5682
72,Balwyn,3 Westminster St,3,h,2125000,SP,Jellis,7/5/16,9.7,3103,3,2,2,699,252,1985,Boroondara,-37.814,145.0966,Southern Metropolitan,5682
73,Balwyn,1/252 Union Rd,2,u,526000,S,hockingstuart,10/9/16,9.7,3103,2,1,1,0,73,1960,Boroondara,-37.8144,145.0993,Southern Metropolitan,5682
74,Balwyn,9/204 Whitehorse Rd,1,h,390000,VB,Jellis,10/9/16,9.7,3103,1,1,1,740,,,Boroondara,-37.8125,145.0775,Southern Metropolitan,5682
75,Balwyn,7 Power St,5,h,2020000,S,Marshall,16/4/16,9.7,3103,5,2,2,611,,,Boroondara,-37.8116,145.0789,Southern Metropolitan,5682
76,Balwyn,150 Balwyn Rd,4,h,2250000,SA,Jellis,16/7/16,9.7,3103,3,1,2,832,,,Boroondara,-37.8068,145.0827,Southern Metropolitan,5682
77,Balwyn,53 Metung St,3,h,2120000,S,Jellis,17/9/16,9.7,3103,3,1,2,651,,,Boroondara,-37.8036,145.0715,Southern Metropolitan,5682
78,Balwyn,1 Knutsford St,4,h,2900000,VB,Marshall,22/5/16,9.7,3103,4,3,2,596,,,Boroondara,-37.815,145.076,Southern Metropolitan,5682
79,Balwyn,26 Wills St,4,h,2000000,PI,hockingstuart,27/6/16,9.7,3103,3,1,2,739,291,1930,Boroondara,-37.8039,145.0631,Southern Metropolitan,5682
80,Balwyn,33 Power St,4,h,1700000,VB,Marshall,30/7/16,9.7,3103,3,1,1,672,115,1935,Boroondara,-37.8099,145.0792,Southern Metropolitan,5682
81,Balwyn North,19 Jacka St,4,h,3230000,S,Jellis,3/9/16,9.2,3104,4,4,3,1135,275,1960,Boroondara,-37.8014,145.0892,Southern Metropolitan,7809
82,Balwyn North,25 Bolinda Rd,4,h,1905000,S,Noel,3/12/16,9.2,3104,4,2,2,647,185,1955,Boroondara,-37.7917,145.0868,Southern Metropolitan,7809
83,Balwyn North,30 Hood St,4,h,1900000,VB,Fletchers,3/12/16,9.2,3104,4,2,2,642,215,1955,Boroondara,-37.7988,145.0726,Southern Metropolitan,7809
84,Balwyn North,13 Riverview Rd,4,h,2205000,PI,RW,3/12/16,9.2,3104,4,2,2,750,214,1950,Boroondara,-37.7906,145.0788,Southern Metropolitan,7809
85,Balwyn North,45 Cityview Rd,4,h,1750000,PI,Ray,6/8/16,9.2,3104,4,3,3,667,,,Boroondara,-37.7898,145.079,Southern Metropolitan,7809
86,Balwyn North,30 Clifton St,4,h,1572000,S,hockingstuart,7/5/16,9.2,3104,4,2,2,662,330,1965,Boroondara,-37.798,145.1007,Southern Metropolitan,7809
87,Balwyn North,41 Helston St,4,h,1800000,VB,Fletchers/One,10/12/16,9.2,3104,4,2,4,587,165,1960,Boroondara,-37.7841,145.0953,Southern Metropolitan,7809
88,Balwyn North,15 Moody St,4,h,2910000,S,Marshall,10/12/16,9.2,3104,4,3,2,1070,247,1992,Boroondara,-37.7975,145.0716,Southern Metropolitan,7809
89,Balwyn North,13 Lucifer St,4,h,1670000,SP,Marshall,11/3/17,9.2,3104,4,3,2,689,,,Boroondara,-37.7871,145.0843,Southern Metropolitan,7809
90,Balwyn North,5 Lemon Rd,5,h,2070000,SP,Jellis,12/11/16,9.2,3104,5,2,1,1138,,,Boroondara,-37.7928,145.1006,Southern Metropolitan,7809
91,Balwyn North,3 Capella St,2,h,1389000,S,Jellis,22/5/16,9.2,3104,2,1,4,701,,,Boroondara,-37.7867,145.0718,Southern Metropolitan,7809
92,Balwyn North,85a Woodville St,3,h,1335000,S,Fletchers,22/5/16,9.2,3104,3,2,2,368,177,2009,Boroondara,-37.7846,145.0935,Southern Metropolitan,7809
93,Balwyn North,66 Almond St,3,h,1520000,S,Jellis,25/2/17,9.2,3104,3,1,2,622,,,Boroondara,-37.7882,145.0882,Southern Metropolitan,7809
94,Balwyn North,19 Hedderwick St,4,h,1250000,VB,Marshall,25/2/17,9.2,3104,4,2,2,644,153,1950,Boroondara,-37.7997,145.0993,Southern Metropolitan,7809
95,Balwyn North,16 Nevada St,4,h,1700000,VB,Jellis,27/6/16,9.2,3104,3,2,5,754,175,1960,Boroondara,-37.786,145.0886,Southern Metropolitan,7809
96,Balwyn North,123 Winfield Rd,5,h,1560000,S,RT,27/11/16,9.2,3104,5,2,3,845,199,1980,Boroondara,-37.7898,145.1021,Southern Metropolitan,7809
97,Bentleigh,22 Hobart St,2,h,1275000,S,Woodards,3/9/16,13,3204,2,1,2,599,,,Glen Eira,-37.925,145.046,Southern Metropolitan,6795
98,Bentleigh,2/531 South Rd,3,t,895000,PI,Ray,3/9/16,13,3204,3,2,2,362,,1997,Glen Eira,-37.9336,145.043,Southern Metropolitan,6795
99,Bentleigh,7 Marquis Rd,4,h,1420000,S,Woodards,3/12/16,13,3204,4,1,4,786,,,Glen Eira,-37.9305,145.0449,Southern Metropolitan,6795
100,Bentleigh,13 Somers St,3,h,1317500,S,Buxton,4/6/16,13,3204,3,1,1,576,127,1945,Glen Eira,-37.9149,145.0254,Southern Metropolitan,6795
101,Bentleigh,39 Luckins Rd,4,h,1300000,PI,Buxton,7/11/16,13,3204,4,2,2,697,194,1940,Glen Eira,-37.9318,145.0474,Southern Metropolitan,6795
102,Bentleigh,1/26 Harding St,3,t,1100000,SP,Buxton,10/12/16,13,3204,3,2,2,333,,,Glen Eira,-37.9292,145.0341,Southern Metropolitan,6795
103,Bentleigh,11 Somers St,4,h,1450000,S,hockingstuart,12/11/16,13,3204,4,1,1,567,,,Glen Eira,-37.9149,145.0252,Southern Metropolitan,6795
104,Bentleigh,33 Luckins Rd,3,h,1328000,S,Woodards,15/10/16,13,3204,3,2,2,690,245,1970,Glen Eira,-37.9317,145.0469,Southern Metropolitan,6795
105,Bentleigh,4 Daley St,3,h,1370000,S,hockingstuart,16/7/16,13,3204,3,1,2,624,143,1950,Glen Eira,-37.9256,145.0374,Southern Metropolitan,6795
106,Bentleigh,1/96 Tucker Rd,2,u,797500,S,Ray,17/9/16,13,3204,2,1,2,321,,,Glen Eira,-37.9257,145.0501,Southern Metropolitan,6795
107,Bentleigh East,6/12 Neville St,3,u,740000,PI,Hodges,4/3/17,13.9,3165,3,2,1,258,,,Glen Eira,-37.9244,145.0547,Southern Metropolitan,10969
108,Bentleigh East,24 Brooks St,4,h,1220000,S,Hodges,4/6/16,13.9,3165,3,2,2,585,178,1950,Glen Eira,-37.9167,145.0771,Southern Metropolitan,10969
109,Bentleigh East,71 Bignell Rd,4,h,1200000,S,hockingstuart,7/5/16,13.9,3165,4,2,2,619,191,1960,Glen Eira,-37.9358,145.0688,Southern Metropolitan,10969
110,Bentleigh East,41 Bradford St,3,h,845000,S,Ray,12/11/16,13.9,3165,3,2,2,295,145,1998,Glen Eira,-37.9239,145.0781,Southern Metropolitan,10969
111,Bentleigh East,40 Kennedy St,3,h,1208000,S,Woodards,12/11/16,13.9,3165,3,1,1,747,,,Glen Eira,-37.9198,145.0791,Southern Metropolitan,10969
112,Bentleigh East,25 Thornton St,3,h,920000,PI,Buxton,12/11/16,13.9,3165,3,2,2,578,120,1950,Glen Eira,-37.9303,145.0805,Southern Metropolitan,10969
113,Bentleigh East,5 Kennedy St,5,h,1475000,S,Woodards,17/9/16,13.9,3165,5,2,2,729,,,Glen Eira,-37.9191,145.075,Southern Metropolitan,10969
114,Bentleigh East,11 Moylan St,4,h,1690000,S,Gary,17/9/16,13.9,3165,4,2,2,700,165,1950,Glen Eira,-37.9117,145.0534,Southern Metropolitan,10969
115,Bentleigh East,75 Victor Rd,3,t,825000,S,hockingstuart,17/9/16,13.9,3165,3,1,1,642,,,Glen Eira,-37.9269,145.0787,Southern Metropolitan,10969
116,Bentleigh East,2/40 Francesco St,3,t,970000,S,Matthew,18/3/17,13.9,3165,3,2,2,267,156,2000,Glen Eira,-37.9176,145.0566,Southern Metropolitan,10969
117,Bentleigh East,1/38 Kennedy St,4,t,1045000,S,Buxton,18/6/16,13.9,3165,4,2,1,316,190,2010,Glen Eira,-37.9198,145.0789,Southern Metropolitan,10969
118,Bentleigh East,2/14 Wamba Rd,3,u,920000,SP,Buxton,18/6/16,13.9,3165,3,2,1,388,123,2007,Glen Eira,-37.9329,145.053,Southern Metropolitan,10969
119,Bentleigh East,14 Florence St,3,h,977000,S,Buxton,19/11/16,13.9,3165,3,1,2,543,163,1970,Glen Eira,-37.9242,145.0705,Southern Metropolitan,10969
120,Bentleigh East,54 Elizabeth St,3,h,1197000,S,Buxton,22/5/16,13.9,3165,3,1,2,692,147,1949,Glen Eira,-37.9232,145.0563,Southern Metropolitan,10969
121,Bentleigh East,1/26 Patricia St,3,u,810000,S,Woodards,22/5/16,13.9,3165,3,2,1,316,,1950,Glen Eira,-37.9245,145.0773,Southern Metropolitan,10969
122,Bentleigh East,76 Bignell Rd,3,h,1000000,S,Woodards,24/9/16,13.9,3165,3,1,2,576,,,Glen Eira,-37.9362,145.0691,Southern Metropolitan,10969
123,Bentleigh East,5a Cavalier St,3,t,965000,S,Buxton,24/9/16,13.9,3165,3,2,1,283,28,2010,Glen Eira,-37.9142,145.08,Southern Metropolitan,10969
124,Bentleigh East,2A Barrani St,4,t,1325000,S,Buxton,25/2/17,13.9,3165,4,4,2,363,265,2012,Glen Eira,-37.9116,145.0686,Southern Metropolitan,10969
125,Bentleigh East,1/811 Centre Rd,2,h,710000,S,Buxton,27/11/16,13.9,3165,2,1,1,0,115,1950,Glen Eira,-37.9212,145.0606,Southern Metropolitan,10969
126,Bentleigh East,16a Daphne St,3,t,970000,VB,hockingstuart,28/5/16,13.9,3165,3,2,2,321,,,Glen Eira,-37.9181,145.0586,Southern Metropolitan,10969
127,Bentleigh East,24 Kurrajong St,3,h,950000,PI,Greg,28/5/16,13.9,3165,3,1,1,598,,,Glen Eira,-37.9129,145.0786,Southern Metropolitan,10969
128,Bentleigh East,27 Connie St,4,h,1255000,S,Buxton,28/8/16,13.9,3165,4,2,2,610,167,1950,Glen Eira,-37.9207,145.0757,Southern Metropolitan,10969
129,Bentleigh East,8 Marlborough St,3,h,1320000,S,Buxton,28/8/16,13.9,3165,3,1,1,593,94,1950,Glen Eira,-37.9178,145.067,Southern Metropolitan,10969
130,Bentleigh East,1/39 Neville St,3,h,870000,S,Gary,28/8/16,13.9,3165,3,2,1,326,133,1950,Glen Eira,-37.9236,145.0545,Southern Metropolitan,10969
131,Box Hill,6/29 Barkly St,2,u,645000,S,McGrath,4/3/17,13.1,3128,2,1,1,140,81,1965,Whitehorse,-37.8271,145.1299,Eastern Metropolitan,4605
132,Box Hill,1/1 Cherryhinton St,2,u,790000,S,Noel,4/3/17,13.1,3128,2,1,1,195,,,Whitehorse,-37.826,145.129,Eastern Metropolitan,4605
133,Box Hill,18 Glenmore St,4,h,1560000,PI,Jellis,10/9/16,13.1,3128,3,2,3,729,167,1905,Whitehorse,-37.8233,145.1267,Eastern Metropolitan,4605
134,Box Hill,33 Pendle St,4,h,1670000,S,Noel,17/9/16,13.1,3128,4,4,4,707,162,1926,Whitehorse,-37.8166,145.1354,Eastern Metropolitan,4605
135,Box Hill,2/20 Simpsons Rd,2,u,761000,S,Marshall,18/6/16,13.1,3128,2,2,1,176,,2000,Whitehorse,-37.8171,145.1343,Eastern Metropolitan,4605
136,Box Hill,2/38 Margaret St,3,t,822500,S,Noel,28/5/16,13.1,3128,3,2,1,238,130,2000,Whitehorse,-37.8154,145.1355,Eastern Metropolitan,4605
137,Braybrook,144 Duke St,2,h,868000,S,Bells,7/11/16,10.8,3019,2,1,4,749,77,1950,Maribyrnong,-37.7814,144.847,Western Metropolitan,3589
138,Braybrook,11 Howell Pl,3,h,585000,S,Barry,14/5/16,10.8,3019,3,2,2,631,,,Maribyrnong,-37.7934,144.8467,Western Metropolitan,3589
139,Braybrook,1 Arthur St,2,h,660000,S,Barry,19/11/16,10.8,3019,2,1,1,599,,1960,Maribyrnong,-37.7908,144.8522,Western Metropolitan,3589
140,Brighton,1/137 Cole St,2,u,1300000,S,hockingstuart,4/3/17,11.2,3186,2,2,1,244,,2000,Bayside,-37.8954,145.0026,Southern Metropolitan,10579
141,Brighton,4/78 Dendy St,3,h,1390000,S,Tiernan's,4/3/17,11.2,3186,3,1,2,340,137,1975,Bayside,-37.9205,145.0007,Southern Metropolitan,10579
142,Brighton,1/112 Roslyn St,2,u,1300000,S,Nick,4/3/17,11.2,3186,2,2,2,329,132,1940,Bayside,-37.9172,145.004,Southern Metropolitan,10579
143,Brighton,124 Cole St,4,h,1761000,S,Kay,6/8/16,11.2,3186,4,2,3,615,135,1920,Bayside,-37.8956,145.0026,Southern Metropolitan,10579
144,Brighton,4/149 Church St,2,u,892500,S,Nick,7/5/16,11.2,3186,2,1,2,232,92,1970,Bayside,-37.9157,144.9973,Southern Metropolitan,10579
145,Brighton,120 Cole St,4,h,2145000,S,Buxton,7/5/16,11.2,3186,3,2,1,550,197,1910,Bayside,-37.8954,145.0017,Southern Metropolitan,10579
146,Brighton,15 Gould St,3,h,2400000,S,Marshall,10/9/16,11.2,3186,3,2,2,835,,1910,Bayside,-37.9225,144.991,Southern Metropolitan,10579
147,Brighton,6/4 Dudley St,2,u,1300000,PI,Greg,11/2/17,11.2,3186,2,2,2,0,,,Bayside,-37.9012,144.9878,Southern Metropolitan,10579
148,Brighton,1/191 New St,2,u,900000,S,Nick,14/5/16,11.2,3186,2,2,1,118,,1970,Bayside,-37.914,144.9914,Southern Metropolitan,10579
149,Brighton,6/138 New St,1,u,375000,S,hockingstuart,15/10/16,11.2,3186,1,1,1,0,40,1965,Bayside,-37.9181,144.993,Southern Metropolitan,10579
150,Brighton,12 May St,4,h,2800000,S,Biggin,18/3/17,11.2,3186,4,2,4,569,229,1910,Bayside,-37.8962,145.0011,Southern Metropolitan,10579
151,Brighton,64 North Rd,4,h,2700000,SP,Nick,19/11/16,11.2,3186,4,2,2,732,333,1925,Bayside,-37.8987,144.9953,Southern Metropolitan,10579
152,Brighton,5/18 William St,3,u,1005000,SP,hockingstuart,19/11/16,11.2,3186,3,1,1,0,,,Bayside,-37.909,145.0005,Southern Metropolitan,10579
153,Brighton,4/95 Wilson St,2,u,760000,PI,Hodges,25/2/17,11.2,3186,2,1,2,0,,,Bayside,-37.914,145.003,Southern Metropolitan,10579
154,Brighton,86 Dendy St,5,h,3105000,S,Marshall,28/8/16,11.2,3186,4,2,2,1045,304,1930,Bayside,-37.9205,145.0012,Southern Metropolitan,10579
155,Brighton,2 Gatehouse Pl,2,t,1400000,S,RT,28/8/16,11.2,3186,2,2,1,267,,,Bayside,-37.9159,144.9933,Southern Metropolitan,10579
156,Brighton East,7 Balfour St,4,h,1940000,S,hockingstuart,3/9/16,10.7,3187,4,2,2,682,240,1960,Bayside,-37.9205,145.0122,Southern Metropolitan,6938
157,Brighton East,5 Florence St,4,h,1495000,S,Nick,4/6/16,10.7,3187,4,2,2,597,,,Bayside,-37.9179,145.019,Southern Metropolitan,6938
158,Brighton East,60 Baird St,3,h,1860000,S,Marshall,6/8/16,10.7,3187,3,2,2,686,,1948,Bayside,-37.9241,145.0125,Southern Metropolitan,6938
